,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10,PC_11,PC_12,PC_13,PC_14,PC_15,PC_16,PC_17
price_roll3_mean,-0.010524887195246484,0.17163946095468338,-0.07177412122038092,0.06943713569168714,0.05006780553152104,-0.03280794392686531,-0.003234842658348447,-0.05836872818138096,0.09809542829232235,0.0493999790232173,-0.07509726931701982,0.1184185806193554,-0.24412677793727533,-0.054235883179054534,0.08751725685066684,-0.03891138083349267,0.009208584774323408
price_roll7_mean,0.02353233632383263,0.1441688531102762,-0.05926889439147769,0.0444070549344527,0.038327781736706534,-0.04579775768312566,-0.07794509008023376,0.029313230021796532,0.14905409855923218,0.16300713348481835,-0.08847046886327514,0.19961093246912232,-0.24070816788624091,0.012433414484555039,0.07584785009100639,-0.008256680123534175,-0.0634119774525617
ttf_lag1,0.10473210653725247,0.09023470908188601,0.06332594312079497,0.016315723354800013,0.11759160825198377,0.04151439268812753,-0.12624674898977847,-0.06269417450119544,0.22308678831621298,-0.07672858454870635,0.04899610155204884,0.08449986770348422,0.05551913746498367,-0.07153326320920395,0.026081090185311823,-0.29260152570467296,0.03343042491184231
ttf_return_1d,-0.011260228965835279,-0.021457765343781535,-0.003325321725311342,-0.07001946363806107,0.13476768999968008,0.3475935715414508,0.04689857569760321,0.018571806949711004,0.07931351746266,0.0822530463053418,0.01653174086245964,-0.07974426115156419,0.00553195742648982,0.016722952617379327,-0.009312638000668422,0.018998003523611525,0.10917394138490193
ttf_return_3d,-0.028496384343105457,-0.021923375914426793,-0.011583676351635114,-0.10231466743581878,0.09647332522725971,0.3119046316874903,-0.017342072461703967,-0.008698876244927663,0.013335635269838598,0.08901549418761735,0.2192684794516286,0.054131569129764356,0.11423773408795562,-0.08327370298025452,0.17744096463728898,-0.1124803103301115,0.1751509101186954
ttf_roll7_std,0.019308043167857745,0.03345437923324236,-0.009003049968903287,-0.06687119742506928,0.07670832948412704,0.008692343193698632,-0.03814961144787809,-0.07126091796465465,0.17833791258458656,0.1705045903395772,0.12867216954379265,0.5131783881000949,0.18330762388437905,-0.08577791014573792,0.04283200110359038,0.0876567051819344,-0.02299703437664019
co2_lag1,-0.04231246797591684,0.008797344601956808,-0.17202787808137443,-0.019064215672992192,0.04169392466093572,0.0009808163688970629,-0.09736305556274988,0.033448544134856234,0.23249653132024112,0.034926829380586666,0.34900917939242204,0.0450563277331667,-0.0337592823576732,-0.055071321188218086,-0.06951047312438491,-0.2033696501710542,-0.12421556142937847
co2_return_1d,-0.009660136364897272,0.003155197473694514,0.009245671177127157,-0.06693426473120272,0.13789016114399238,0.22835755110603687,0.016724200260020576,0.118069579793134,0.0014472127362868525,-0.12699303076675547,0.1196666150719779,0.06654468496647298,-0.3396397242958021,0.32415159253697884,0.008879712750407609,0.006707664738655287,-0.18694112828183537
brent_return_3d,-0.014594562796046982,-0.028034385755180947,0.0034626481321043453,-0.025633616574451464,-0.07260035023025461,0.0481727745037463,0.025920114417682844,-0.011576659679852818,0.00947424116606987,-0.1829846282107668,0.2973680136098534,0.1771988219780817,-0.16813198667243714,0.5036044872936651,0.22205780745078396,0.12106304587779805,0.05249295579637536
spark_spread_proxy,-0.09961651019845814,0.14700004910857523,-0.07938045681037133,-0.03434055253873287,-0.07387407792849196,-0.013694706553840237,0.0693267984708577,0.005463719921546334,-0.1807984391396735,0.03572410145376006,-0.06700080617939214,-0.0670469807323648,-0.01761830826009919,0.06299718459893205,-0.018803050891570527,0.2013010434442064,-0.0029955773948297376
co2_gas_ratio,-0.11054863629527178,-0.09485088603707854,-0.11908123471395358,-0.034149676783514785,-0.09355048604739798,-0.042178586212913566,0.07494275129681847,0.03897041509248355,-0.13637638552470963,0.02930122833275981,0.030822507256592857,0.009433429604754073,-0.01769420987093323,0.0631296159667874,-0.07769918204249854,0.21313301506677607,-0.10767564674675809
wind_mean_t,0.16823143728257794,-0.012965070491886945,-0.07597853989285766,-0.02613060987515482,0.0222954525747737,-0.00941012569655386,-0.002357662336042247,-0.04808791757950407,-0.051152102242214705,0.006382624192918108,-0.014803298737397164,0.05923772912581243,-0.10634689388093149,-0.02224690656214079,-0.060980775693933564,0.0218417357764814,-0.018195348120278954
temp_mean_t,-0.10858430172276631,-0.0878797121774268,-0.09558269743646465,-0.12865923111138106,0.018640416979629152,0.002720534836040035,0.06518115375502617,-0.24105341980224498,-0.12714488400999283,0.013257902379836931,-0.01101191194353951,0.12264867998627343,0.011831402989225942,-0.0011279024694508255,0.018463580647208627,-0.014455679699016,-0.005612226884097418
solar_mean_t,-0.12118412637883898,-0.0668998998346265,-0.1791238931176382,-0.0029093458044170584,-0.0866830976736961,0.03865224995201622,-0.015183886321990804,0.09930946791736993,-0.04234124961907898,-0.06535263886203391,-0.05350417230880336,0.10464726117608192,0.03465238106401736,-0.031910054810341204,0.050595643598821516,-0.026937342455874813,-0.008397849259513146
precip_sum_t,0.05550466039200674,-0.0012327599547710235,0.0543130213159569,-0.15767479461710718,0.020076621833867624,0.0023033537429505537,0.0006189651735515665,-0.22933393638649216,0.03215865789806109,0.14907546603716562,0.26175174365052906,-0.18713944696490187,0.026017878524691118,0.10048760757059519,-0.15554035554358903,-0.20054035968306338,0.023297256792392307
temp_sq,-0.11665014970198288,-0.07068712385685208,-0.08123833649540221,-0.12390408632721715,0.026596641634597008,0.007027578895693973,0.05459928233573776,-0.23738259507822565,-0.12966101600993177,0.054034855538152564,-0.0214771328329325,0.15620632769153,0.014283998246177057,0.026002291398552868,0.0440331526629239,0.05193293279871279,-0.02162718303650757
wind_power_proxy,0.1429099417204271,-0.015054702215084535,-0.06079751009757545,-0.007167721078866267,0.012192869201505373,0.016961672152989386,0.05400832916165574,-0.07304389562909724,-0.04557717908033286,-0.005523919863712326,-0.0188196550890241,0.18836834533598878,-0.1501953900313901,-0.05449119623892654,-0.02550459559478707,-0.051083247405092964,-0.000166664024439378
