,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10,PC_11,PC_12,PC_13,PC_14,PC_15
co2_return_1d,0.012600158292155151,-0.0016876759109724125,0.004591756003650271,-0.04354751196957019,0.1345083196256436,-0.17184011287364662,0.25159272600090804,0.06275444425527438,-0.2715426081075668,-0.22283288485065053,-0.16317547445799072,0.18691732911649744,0.07951125673284196,-0.04946069644408076,0.24916964153408153
brent_return_3d,-0.025647535549155834,-0.005047135370260395,0.056791186738208245,-0.02801592096870389,0.012803144548204894,-0.18216569636017838,0.1317492061208724,-0.06389137740217951,-0.11837797313662624,0.1462358536084833,0.00368624802236827,0.12649877211867766,0.723091314775595,0.22998778561889227,0.07632005565785456
spark_spread_proxy,0.11444000934585333,-0.15531802884947327,0.016855543849184914,0.05296402668184994,-0.029820746472449342,-0.014424304147241475,-0.17993974158380777,-0.23163985562646106,-0.07978815346765532,-0.22064924109770828,0.07910837821739633,0.07964023204652404,-0.0120714865973678,-0.07455489046005687,0.004140421630022614
co2_gas_ratio,-0.09721896673034715,-0.1739693135417912,-0.035708221452440854,0.051678635724622946,-0.09030692979640041,0.0026672053364156113,-0.07361468124310692,-0.2620957322127969,-0.1264178843647482,-0.0891084572659201,0.04374674526504964,-1.9429667884707236e-05,-0.0484110678002609,-0.06728859649051733,0.0037748449669494644
wind_mean_t,0.01190223308674647,0.1944234874373661,-0.047176660073264376,0.2109435728638079,-0.12364958520670435,0.02106399833601808,-0.06257461178204232,0.10937338765736924,-0.11588143911885632,-0.002104207639248446,-0.07042035515353375,-0.10396800726857594,0.11368761048885115,0.043459914107786116,0.03360296757432313
temp_mean_t,-0.10129987768315087,-0.19207543195629123,0.042020405480635036,0.11992215381985,0.005536039360638247,-0.13028273917460922,-0.12088235062349705,0.15433482289734962,0.03583091427134987,0.016586986452825275,0.008235523665397648,-0.005267316673978545,-0.0036426405306649867,0.016724339918865634,0.02096502075596235
solar_mean_t,-0.05243204377297623,-0.21191265675511448,-0.06325679614228241,0.05687591605715633,-0.06123213559594222,0.0036194954348982918,0.07480914813570284,-0.18073503169031543,-0.09395830468614946,-0.05182367776923872,-0.11383911787108247,-0.0713343914742322,-0.13762542951086015,0.06708407354739317,-0.05332413703818536
precip_sum_t,-0.005439239525302095,0.10199291383926695,-0.09531723217444005,0.0923069356740772,-0.03573024442261995,-0.15599628563256926,-0.16289588431016025,0.22353118548359785,0.04078498453451994,-0.008208457817732627,0.12500243554351476,-0.10537502754943959,0.1919386291412478,-0.30536932442007336,-0.05299293068869032
temp_sq,-0.09043487398622369,-0.19267871111328716,0.04240716191851806,0.08989102359749346,0.04259350510307917,-0.15703391389647411,-0.12909689020789256,0.14485775122628738,0.04636714994456232,-0.020093112344410243,0.06018592407578713,0.012143830942220223,0.027121479385647185,-0.00719706532088548,0.030013323056264946
wind_power_proxy,-0.0020073976526588755,0.16773087683537277,-0.04592659027882072,0.20904094468369208,-0.0718276143256965,0.02975379065156532,-0.054798631721897514,0.10206108667521419,-0.09081994451978842,0.0443341449219281,-0.03285656507334474,-0.15813337772528363,0.11237191630999588,0.12242607742347911,-0.0054887806471783235
