,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10,PC_11,PC_12,PC_13,PC_14
price_roll3_mean,0.09300995711739017,0.14748489564381131,-0.10331999683932455,0.036408354503069645,0.10014463262265814,0.05754479900352383,-0.02231153305730893,-0.020004205512215045,-0.03995763081174164,0.015434190431255462,-0.130224554500617,0.061456873736087894,0.22257428277251443,-0.20108527795738668
price_roll7_mean,0.08751916443436258,0.11374847440476597,-0.07264349604798899,0.009470052805847092,0.15114669650281334,0.1603807502568549,0.029681821162206856,-0.004502753779060864,-0.06221100119744427,0.016237750916128446,-0.13821114539265178,-0.018280823068462557,0.33689371524263245,-0.15159854328018788
ttf_lag1,0.1356745961521764,-0.023745729824170708,-0.10116548434502372,0.19542054558880223,0.03654990302308739,0.18365583145118378,-0.10034884514576309,-0.021978659013491456,0.03382172275417866,-0.079471988940093,-0.09500811421329763,-0.13115990829015028,0.055107170805379475,-0.06133048908433558
ttf_return_1d,-0.007825138203214054,-0.0019077641343752901,-0.06461057709715412,0.02380707361354511,-0.10209357803200264,0.06592055742967312,-0.09384513528923183,0.4919541668761106,0.2135021508820962,0.13188549659362192,-0.0697983363699328,-0.22256735512091141,-0.10085702998044088,0.09466266612886799
ttf_return_3d,-0.02917745395990939,0.015448312824053501,-0.031347699362377766,0.07683253352830456,-0.13606161388545807,0.06820241396105084,-0.1650559804992135,0.46089611384294604,0.14722752998673858,0.05175809022643135,-0.025192726827491324,-0.11082357820160171,-0.056553823885606314,-0.13015305258340198
ttf_roll7_std,-0.002491304678523197,0.02707208485344266,-0.022330638940358156,0.1206224063578196,0.004860666256207999,0.17288028553969417,-0.10868269761597307,0.08297756016550462,-0.16857203360936132,-0.1645970267672058,-0.29646023041789094,-0.08067104311970538,-0.029518418714269246,0.23479463223211217
co2_lag1,-0.0803973296155749,0.11700234319015745,-0.1337294524345985,-0.0017705736489513088,0.03190640806867321,0.23236599906620273,0.09886074200040212,-0.022963541792011488,0.1490548406793777,-0.15830420271924567,-0.03266836166400189,-0.13088748725832866,0.11073900097183431,-0.06380089632679209
co2_return_1d,-0.0017861461525661146,-0.007402224801778793,-0.039602354921914724,-0.008928656783254716,-0.05507505844551778,0.060793040714935284,-0.06154345387152552,0.42247160676060713,0.31969908043734824,0.12908696711723627,0.1373742899093115,0.016344122254157524,0.10420573629783048,-0.06611659830218951
brent_return_3d,-0.022262359047271547,-0.0077159081134599294,0.040036998422065664,-0.06092550590714924,-0.11195129566303597,0.09206306720852968,-0.0757197408922854,0.13250999293247423,0.1215593372895514,-0.1586186028972188,0.4059607289668532,0.48170315635766336,0.1298666419930033,-0.33874095547396194
spark_spread_proxy,0.02250985067285701,0.1896493960170474,0.05942685277107859,-0.10245728266249463,-0.0618336377833782,-0.13068515007784623,0.06316758496811856,0.013474434600478251,-0.04908275987524244,0.07700336640699428,0.07923656575990645,0.10909391390022011,-0.06935990064704697,0.06152183114621977
co2_gas_ratio,-0.1569842567922356,0.04774539923316008,0.05235467315022412,-0.18281684711890336,-0.06188465341653509,-0.0741121648801988,0.14971711586416686,-0.006508861915308661,0.03706273780349482,-0.010349086825545,-0.022501649604767804,0.11799362221767462,-0.04356800954469564,0.06435819412899951
wind_mean_t,0.08890195717596498,-0.11501747525341803,-0.17149630978117586,-0.07355832215306427,-0.17291239557691673,0.12350085473735671,0.1939429014373499,-0.0343682856677031,-0.018403929950467756,0.03090566175470367,0.039937313739854555,0.016356953953145292,-0.0030512155342994896,-0.012926392941176562
temp_mean_t,-0.1626068076759844,0.06786029056332395,0.04351980438068678,0.05512717074707305,-0.1885371399974346,-0.0328596502177606,-0.030947823720904932,0.05516526386980148,-0.16042415612863706,0.04631338321696784,-0.0715813670411541,0.1278783451618803,0.11986616706058228,-0.0022188062000748215
solar_mean_t,-0.1681481411716135,0.10317152294217888,0.022490487981054474,-0.11338529763134092,-0.017954426501169143,0.04546666002498379,0.040798199450966,-0.030531212786721322,0.08264202572312829,0.005266844012499204,-0.07338788397693236,0.05809054511417122,-0.095576088319974,0.041273879539515335
precip_sum_t,0.05679577423558191,-0.06617893333733117,-0.1167272465777793,0.02942434168464414,-0.16819113028191174,0.05315155081792533,0.16959764044226658,-0.05645242740675019,-0.18142403301497217,0.06751054129506416,0.032427740254746804,-0.27354117269682904,0.3228763478138494,-0.23052407278555825
temp_sq,-0.15395010015401658,0.07131605764731049,0.06357882227280236,0.05801271835723052,-0.1666360102597778,-0.0438693722280351,-0.023565229398344344,0.08807458688061387,-0.16800195836340442,0.03536750905737255,-0.10691967564250547,0.21672131464654684,0.11560693112996087,-0.00994605544401611
wind_power_proxy,0.07737429763833573,-0.1202068051946506,-0.18397889023263672,-0.04769395419322606,-0.1751567271891826,0.10573442208645731,0.1752810657490457,-0.016582645030245837,-0.01958001057516595,-0.0028858664008168584,0.024911176225301507,0.06081327278945582,0.002052990375898109,-0.051028098204598804
wind_chill,-0.16327587569332278,0.07541137124785839,0.05748385040803888,0.059406228032795695,-0.16355486297970476,-0.042844399765490024,-0.04759655867328269,0.055784959702233086,-0.15118084314462768,0.041256366555006765,-0.07195071672992756,0.12035283771841852,0.11452786926221611,-0.0009083095319257772
supply_margin,-0.09412238107391185,-0.005214776260427601,-0.05104519930990514,0.061503528263840875,-0.06328809251085546,-0.15950911917064622,0.06321232245286927,-0.08948451472269099,-0.10288639395822506,0.4861682290746048,0.30977033278727545,-0.22214262167259574,-0.024081815098300714,-0.013696012404955826
load_overnight,0.18583577672240584,-0.033262854200568855,0.0824860557764644,-0.1083233151066474,0.11232799689612344,0.034503534226009075,-0.0009771862622839447,0.025440245314864374,0.07249635530306711,-0.05962951106985472,-0.059941286109601165,0.09487309916202993,-0.05293740113746112,0.00355974024347247
load_morning,0.16761644488212407,-0.031183945833411025,0.17410516625599037,-0.16255107465397292,0.02084741581924511,0.09099650893909048,-0.03976763278205825,0.010665925236162749,0.03337409568919512,-0.06057950138778431,-0.06264243045211561,0.028906243344412833,0.021604481710452556,-0.013410139434103503
load_midday,0.161610801993153,-0.0481343030281992,0.19514131551487668,-0.13699254987031714,0.0037235334900398826,0.042554204196314324,-0.027913961365528837,0.06289693338199942,-0.03938083686613946,-0.03121743692125607,-0.1340602462851486,0.099957470845289,0.04089933014175588,-0.027303696056352696
load_evening,0.17597197891643404,-0.06514083067468668,0.14111625789068302,-0.08811836499046793,0.06584181607003632,0.034041100616515683,-0.019189608811551375,0.07002065710561067,-0.028548899646409217,-0.04028074390060904,-0.08506316228254523,0.11692871840447333,0.02309095361286339,-0.0014782477770951164
load_night,0.17797712449528894,-0.059491461766599314,0.08967246465700487,-0.08476249575836271,0.1410065210795216,0.023096182988092174,0.02254100467709775,0.0634994521264415,0.03830627234347561,-0.049687673700533876,-0.08394714030644579,0.12370689839758124,-0.032928220172621286,-0.014620770289003375
solar_overnight,-0.11878023155800861,0.04350399440654521,0.07073348713956767,-0.17643843223912437,-0.06902200698662445,0.019401068463823678,0.13196854274728045,0.029697638952210743,0.03697355943097765,0.1261160826636309,-0.2772313677788365,0.10695148896552527,-0.19119068717009768,0.02137863881785187
solar_morning,-0.16903961767888295,0.10042811890325637,0.02146332528714309,-0.1175464414694059,-0.039499410019913146,0.03524845649563367,0.055264154451413555,-0.026673014855522165,0.07985168358819615,-0.01044016014805536,-0.06178754468759906,0.06308349373908834,-0.07661312517095954,0.030447155303153617
solar_midday,-0.16066191928258747,0.10770351988244632,0.0383540899493668,-0.04736357054885123,-0.008374401693265584,0.010540852871470613,-0.03127713707451223,-0.03201715128659216,0.09201182256620853,-0.04330734232980998,-0.000804411381094311,0.11083422158951672,-0.08635331091376618,0.08007052138633614
solar_evening,-0.16621113805893004,0.09070847384191211,0.020954496760121705,-0.14833750534033588,-0.04288771397182734,0.029879568878717178,0.08801542473017487,-0.016869221032928376,0.07972847816027685,0.02380243585403115,-0.10744105485550597,0.04365963859913439,-0.08448245531799577,0.006644960838176189
solar_night,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-2.0194839173657902e-28,-1.2924697071141057e-26,-4.1359030627651384e-25,6.617444900424222e-24
wind_on_overnight,0.09132741625671541,-0.12715403494308863,-0.170032183072882,-0.048778969458527215,-0.1584345754198211,0.10219349889193936,0.08078233620040978,-0.015109145622149206,-0.03573800781479008,-0.04370146159675479,-0.048879682851504305,0.07820458914014178,0.0014240668152158684,-0.032610451413909884
wind_on_morning,0.10696525596338347,-0.12220261488648651,-0.16327046424374161,-0.028287891206958682,-0.1611682452712594,0.10226998391188129,0.15558043833331295,0.0160147305700692,-0.04211694238992897,-0.010530465239768472,-0.011995234023591306,0.08406762894457737,0.024971728274262896,0.013835942735792594
wind_on_midday,0.10585657560619788,-0.11771142392829718,-0.16283969705450907,-0.034089798536641853,-0.16504861041508154,0.12295364840092789,0.19180334394100795,0.022994757068082548,-0.04581641448701422,0.02783524180435649,0.0034142452457665124,0.09870690585075123,-0.014509890722646598,0.08564169707961705
wind_on_evening,0.10477977578194866,-0.11043556312712619,-0.14859388850068309,-0.0391729356172271,-0.15896774906444783,0.12636192598907028,0.19390423903620665,0.035518608436201256,-0.037480192824643606,0.06787586600481275,0.03184099243263767,0.1205725617285289,-0.09257522987948025,0.19362431381765877
wind_on_night,0.10650198622309281,-0.10208368970530347,-0.14385526836624063,-0.030271175000471044,-0.145452440613296,0.11181911790767038,0.1741486670723676,0.040874742440323235,-0.027168465410089413,0.05742877644132605,0.060356277836188924,0.11351933849991379,-0.11130683006875297,0.2165232257542562
gen_overnight,0.17035441674336038,-0.02786439896077733,0.14503891198081223,-0.11978113196853497,0.059659943619437945,-0.02929232668103209,0.0457306048750373,0.003949969882158338,0.013744171007126613,0.21437000183247762,0.08721087048615428,0.014018936310327865,-0.03396739699167669,-0.014831590542561175
gen_morning,0.1660942377832099,-0.05629711634342703,0.16971271376417604,-0.14021389943336451,-0.009612788143218544,0.02223901781454827,-0.012516215324632148,-0.0012783396407657869,-0.01277186519905826,0.1112674767324,0.051540500628280944,-0.028429090589906548,0.02263116375301915,-0.02695110991125287
gen_midday,0.1647457608992428,-0.07243174183965549,0.17430622022526118,-0.11348358753013592,-0.0020522191286701046,-0.013286304666821014,-0.009021874607676965,0.025045515004019008,-0.049352600036502825,0.10968579984918701,0.012571573043806083,0.009959391227513529,0.005405995563962526,-0.016632449459535733
gen_evening,0.17137918062876206,-0.07759553494376424,0.11689164590445202,-0.10569455330345769,0.07457019549727541,-0.01438048624198026,0.001294166737844134,0.03274769221251759,-0.05291420205127017,0.12171623379089494,0.008330605881081216,0.02258321763407318,-0.021114627197845955,-0.011244963032520608
gen_night,0.16186842075967442,-0.06097380385818821,0.11893825847484071,-0.11548386112420186,0.13211772672014474,-0.03723006031669381,0.013791251986657066,0.03285587760497427,-0.04257922080496969,0.16672429101134842,-0.02140925769485088,0.007410627525647151,-0.007471115725292867,-0.03685343746065683
evening_ramp_load,0.10611361504950802,-0.079147884795619,-0.1384184316605305,0.13806115154379983,0.23321797947301928,-0.017978636545250695,0.02352135120979512,0.04702951329126068,0.027669771325816248,-0.04398738664738588,0.13947229763656016,0.09584317775749256,-0.053233395740853104,0.08759131514801795
morning_ramp_load,0.015825538817024625,-0.005985517010219093,0.272942038989844,-0.18217474155675242,-0.20504361969550716,0.16262774289075446,-0.10379347704555451,-0.030584926195876796,-0.07921008152667096,-0.02320318970549337,-0.027981617471972312,-0.14304854095858244,0.18045457002067455,-0.044025022200038455
solar_concentration,0.1658930621652787,-0.10425004996720867,0.026927071747625268,0.11356367812426363,0.05079986000552533,-0.07401514496253243,-0.0945679994201481,0.03323079563266125,-0.07061165706858652,0.0013230794779772405,0.03959819013628464,0.060329695794866925,-0.005566321297428994,0.03987253326810038
is_weekend,-0.0025096348082733833,-0.003128772529056212,-0.2298641206776805,0.19738696655425847,0.213001373075419,-0.19916130335499246,0.09462361131710907,0.04760699061851702,0.07391000043941781,0.09884873996506077,-0.14935795122122564,0.23607797537653838,-0.08526528612436213,-0.04794725104561865
is_holiday,0.0010666680972228856,0.0336057081514573,-0.04770431599826584,-0.03222601061552494,0.09205806051093715,0.07191431053990212,-0.07527136296099912,-0.09505822021724818,0.19822833873423326,-0.34317315234478535,0.38596278191035704,-0.014803063358471728,0.06895123167759296,0.25778916463752627
month_sin,0.05779393296373233,0.03213291570113982,-0.11147006283342689,-0.2015463372657182,0.21318614009930287,0.17275677372275933,0.13204478386937094,-0.10191392772349488,0.2439028029059389,0.022333450421835113,-0.06103179994574027,-0.19674230964273254,-0.13967051726923888,0.018614046725408454
month_cos,0.15740436515973055,-0.10504410359084174,0.024862099787313033,0.13966246792843537,0.027970946068630813,-0.07702737646812338,-0.10070574032979716,0.03611135783681766,-0.09556211779778746,-0.0026388238896889156,0.06127163457245824,0.07622380987597688,0.009190735092224081,0.04616099629345999
dow_sin,0.0020550162750023345,0.006342412690727162,0.19281422145947957,-0.17761042434461904,-0.1979022977655766,0.16406216425414782,-0.09327994871734223,-0.012879955375887544,-0.087006528841903,-0.12188928150502658,0.19486602708603318,-0.2091679975653115,-0.0230035066515687,0.24025646754552743
dow_cos,-0.04534009399607117,-0.048493829444580805,-0.00698248173125609,0.05802985294911846,0.23833132707386942,0.1235620630749481,0.05837944896204995,0.17562211850760984,-0.18104622142082621,0.042988466951507695,0.019652784220499587,0.045974471783448975,0.1847979682676123,0.34883739250928164
pivot_hour_h00,0.03366063963139951,0.16927993028790886,-0.12898666277949383,-0.10711686268704852,0.08594844425731196,0.008838194882207594,-0.05789568818177181,0.11846200093646995,-0.2021120011889156,0.0270694780227356,0.02489656544665016,0.058191041651294496,0.08868221368620213,0.1013705948810762
pivot_hour_h01,0.04854902619004158,0.16475310138728277,-0.1298173373071625,-0.11803251954627539,0.09688142448062997,0.01597579208004523,-0.0531632497194794,0.1244905333744733,-0.2054342559613367,0.0333936452996019,0.028444604864961778,0.04735366027074783,0.07428442916120394,0.0973208338386043
pivot_hour_h02,0.040318847200700524,0.1692867120603787,-0.12288337999108541,-0.13563103726450346,0.08373565291720234,0.013228779972045752,-0.05845829071963467,0.11124243000327219,-0.19837060506208162,0.012010625389412501,0.03943991119939384,0.02981753967990041,0.04519907887693921,0.11962105954276754
pivot_hour_h03,0.029778620712249973,0.18868924844003218,-0.10498576181082706,-0.11074482510503336,0.039124819418941505,0.002130235843061718,-0.04916519574519685,0.08128686091913563,-0.13992372219733284,0.015227652524136248,0.07278900743563242,0.0037621464394066964,0.028555427698847505,0.1284024796320159
pivot_hour_h04,0.03522297343816637,0.19451545045780033,-0.09161895388205893,-0.0562207772616769,-0.020784742921796977,0.008217286824757798,-0.08100568413828999,0.0004682179040211213,-0.084969264826949,0.004532476583815152,0.09554227399473622,0.002374169398106997,-0.001944935985433939,0.0907004178186578
